Campus,Categoria,Label,Valor,Timestamp,Modalidade
Todas as unidades,tipo,Pública Estadual,2420,2026-08-18 17:45:00.000000,INT
Todas as unidades,tipo,Pública Municipal,2233,2026-08-18 17:45:00.000000,INT
Todas as unidades,tipo,Privada,1357,2026-08-18 17:45:00.000000,INT
Todas as unidades,tipo,Pública Federal,19,2026-08-18 17:45:00.000000,INT
Todas as unidades,area,Urbana,5976,2026-08-18 17:45:00.000000,INT
Todas as unidades,area,Rural,53,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Belo Horizonte - MG,783,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Betim - MG,473,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Ribeirão das Neves - MG,356,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Contagem - MG,318,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Santa Luzia - MG,279,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Sabará - MG,276,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Conselheiro Lafaiete - MG,252,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Ipatinga - MG,237,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Ouro Preto - MG,237,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Itabirito - MG,234,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Ponte Nova - MG,218,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Governador Valadares - MG,200,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Congonhas - MG,169,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Ouro Branco - MG,144,2026-08-18 17:45:00.000000,INT
Todas as unidades,cidade,Ibirité - MG,143,2026-08-18 17:45:00.000000,INT
Arcos,tipo,Pública Estadual,44,2026-08-18 17:45:00.000000,INT
Arcos,tipo,Privada,21,2026-08-18 17:45:00.000000,INT
Arcos,tipo,Pública Municipal,3,2026-08-18 17:45:00.000000,INT
Arcos,area,Urbana,65,2026-08-18 17:45:00.000000,INT
Arcos,area,Rural,3,2026-08-18 17:45:00.000000,INT
Arcos,cidade,Arcos - MG,62,2026-08-18 17:45:00.000000,INT
Arcos,cidade,Natal - RN,1,2026-08-18 17:45:00.000000,INT
Arcos,cidade,Doresópolis - MG,1,2026-08-18 17:45:00.000000,INT
Arcos,cidade,Japaraíba - MG,1,2026-08-18 17:45:00.000000,INT
Arcos,cidade,Acrelândia - AC,1,2026-08-18 17:45:00.000000,INT
Arcos,cidade,Iguatama - MG,1,2026-08-18 17:45:00.000000,INT
Arcos,cidade,Outra - OU,1,2026-08-18 17:45:00.000000,INT
Bambuí,tipo,Pública Estadual,78,2026-08-18 17:45:00.000000,INT
Bambuí,tipo,Pública Municipal,26,2026-08-18 17:45:00.000000,INT
Bambuí,tipo,Privada,21,2026-08-18 17:45:00.000000,INT
Bambuí,area,Urbana,114,2026-08-18 17:45:00.000000,INT
Bambuí,area,Rural,11,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Bambuí - MG,50,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Iguatama - MG,11,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Medeiros - MG,9,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Luz - MG,6,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Campos Altos - MG,5,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Arcos - MG,4,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Córrego Danta - MG,3,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Piumhi - MG,3,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Santa Rosa da Serra - MG,3,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Pompéu - MG,3,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Araxá - MG,2,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Japaraíba - MG,2,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Contagem - MG,2,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Outra - OU,2,2026-08-18 17:45:00.000000,INT
Bambuí,cidade,Ibiá - MG,2,2026-08-18 17:45:00.000000,INT
Betim,tipo,Pública Municipal,480,2026-08-18 17:45:00.000000,INT
Betim,tipo,Privada,219,2026-08-18 17:45:00.000000,INT
Betim,tipo,Pública Estadual,136,2026-08-18 17:45:00.000000,INT
Betim,tipo,Pública Federal,3,2026-08-18 17:45:00.000000,INT
Betim,area,Urbana,838,2026-08-18 17:45:00.000000,INT
Betim,cidade,Betim - MG,455,2026-08-18 17:45:00.000000,INT
Betim,cidade,Contagem - MG,254,2026-08-18 17:45:00.000000,INT
