Unidade,Curso,Vagas,Inscritos,Inscr./Vagas,Timestamp,Modalidade
ARCOS,Técnico Integrado em Administração,0,21,0,2026-08-06 08:18:00.000000,INT
ARCOS,Técnico Integrado em Mecânica,0,8,0,2026-08-06 08:18:00.000000,INT
BAMBUÍ,Técnico Integrado em Administração,0,7,0,2026-08-06 08:18:00.000000,INT
BAMBUÍ,Técnico Integrado em Agroindústria,0,1,0,2026-08-06 08:18:00.000000,INT
BAMBUÍ,Técnico Integrado em Agropecuária,0,21,0,2026-08-06 08:18:00.000000,INT
BAMBUÍ,Técnico Integrado em Biotecnologia,0,11,0,2026-08-06 08:18:00.000000,INT
BAMBUÍ,Técnico Integrado em Eletromecânica,0,3,0,2026-08-06 08:18:00.000000,INT
BAMBUÍ,Técnico Integrado em Informática,0,9,0,2026-08-06 08:18:00.000000,INT
BETIM,Técnico Integrado em Automação Industrial,0,108,0,2026-08-06 08:18:00.000000,INT
BETIM,Técnico Integrado em Mecânica,0,57,0,2026-08-06 08:18:00.000000,INT
BETIM,Técnico Integrado em Química,0,124,0,2026-08-06 08:18:00.000000,INT
CONGONHAS,Técnico Integrado em Edificações,0,33,0,2026-08-06 08:18:00.000000,INT
CONGONHAS,Técnico Integrado em Mecânica,0,15,0,2026-08-06 08:18:00.000000,INT
CONGONHAS,Técnico Integrado em Mineração,0,15,0,2026-08-06 08:18:00.000000,INT
CONSELHEIRO LAFAIETE,Técnico Integrado em Eletrotécnica,0,27,0,2026-08-06 08:18:00.000000,INT
CONSELHEIRO LAFAIETE,Técnico Integrado em Mecânica,0,12,0,2026-08-06 08:18:00.000000,INT
CONSELHEIRO LAFAIETE,Técnico Integrado em Segurança do Trabalho,0,15,0,2026-08-06 08:18:00.000000,INT
FORMIGA,Técnico Integrado em Administração,0,13,0,2026-08-06 08:18:00.000000,INT
FORMIGA,Técnico Integrado em Eletrotécnica,0,7,0,2026-08-06 08:18:00.000000,INT
FORMIGA,Técnico Integrado em Informática,0,10,0,2026-08-06 08:18:00.000000,INT
GOVERNADOR VALADARES,Técnico Integrado em Edificações,0,31,0,2026-08-06 08:18:00.000000,INT
GOVERNADOR VALADARES,Técnico Integrado em Meio Ambiente,0,41,0,2026-08-06 08:18:00.000000,INT
GOVERNADOR VALADARES,Técnico Integrado em Segurança do Trabalho,0,35,0,2026-08-06 08:18:00.000000,INT
IBIRITÉ,Técnico Integrado em Automação Industrial,0,23,0,2026-08-06 08:18:00.000000,INT
IBIRITÉ,Técnico Integrado em Informática,0,61,0,2026-08-06 08:18:00.000000,INT
IBIRITÉ,Técnico Integrado em Mecatrônica,0,37,0,2026-08-06 08:18:00.000000,INT
IBIRITÉ,Técnico Integrado em Sistemas de Energia Renovável,0,24,0,2026-08-06 08:18:00.000000,INT
IPATINGA,Técnico Integrado em Automação Industrial,0,59,0,2026-08-06 08:18:00.000000,INT
IPATINGA,Técnico Integrado em Eletrotécnica,0,31,0,2026-08-06 08:18:00.000000,INT
ITABIRITO,Técnico Integrado em Automação Industrial,0,28,0,2026-08-06 08:18:00.000000,INT
ITABIRITO,Técnico Integrado em Desenvolvimento de Sistemas,0,11,0,2026-08-06 08:18:00.000000,INT
OURO BRANCO,Técnico Integrado em Administração,0,38,0,2026-08-06 08:18:00.000000,INT
OURO BRANCO,Técnico Integrado em Informática,0,42,0,2026-08-06 08:18:00.000000,INT
OURO BRANCO,Técnico Integrado em Metalurgia,0,8,0,2026-08-06 08:18:00.000000,INT
OURO PRETO,Técnico Integrado em Administração,0,47,0,2026-08-06 08:18:00.000000,INT
OURO PRETO,Técnico Integrado em Automação Industrial,0,38,0,2026-08-06 08:18:00.000000,INT
OURO PRETO,Técnico Integrado em Edificações,0,33,0,2026-08-06 08:18:00.000000,INT
OURO PRETO,Técnico Integrado em Metalurgia,0,14,0,2026-08-06 08:18:00.000000,INT
OURO PRETO,Técnico Integrado em Mineração,0,26,0,2026-08-06 08:18:00.000000,INT
PIUMHI,Técnico Integrado em Edificações,0,36,0,2026-08-06 08:18:00.000000,INT
PONTE NOVA,Técnico Integrado em Administração,0,57,0,2026-08-06 08:18:00.000000,INT
PONTE NOVA,Técnico Integrado em Informática,0,32,0,2026-08-06 08:18:00.000000,INT
RIBEIRÃO DAS NEVES,Técnico Integrado em Administração,0,98,0,2026-08-06 08:18:00.000000,INT
RIBEIRÃO DAS NEVES,Técnico Integrado em Eletroeletrônica,0,20,0,2026-08-06 08:18:00.000000,INT
RIBEIRÃO DAS NEVES,Técnico Integrado em Informática,0,95,0,2026-08-06 08:18:00.000000,INT
SABARÁ,Técnico Integrado em Administração,0,66,0,2026-08-06 08:18:00.000000,INT
SABARÁ,Técnico Integrado em Eletrônica,0,46,0,2026-08-06 08:18:00.000000,INT
SABARÁ,Técnico Integrado em Informática,0,65,0,2026-08-06 08:18:00.000000,INT
SANTA LUZIA,Técnico Integrado em Edificações,0,70,0,2026-08-06 08:18:00.000000,INT
SANTA LUZIA,Técnico Integrado em Meio Ambiente,0,49,0,2026-08-06 08:18:00.000000,INT
SANTA LUZIA,Técnico Integrado em Segurança do Trabalho,0,59,0,2026-08-06 08:18:00.000000,INT
SÃO JOÃO EVANGELISTA,Técnico Integrado em Agrimensura,0,7,0,2026-08-06 08:18:00.000000,INT
SÃO JOÃO EVANGELISTA,Técnico Integrado em Agropecuária,0,52,0,2026-08-06 08:18:00.000000,INT
SÃO JOÃO EVANGELISTA,Técnico Integrado em Informática,0,46,0,2026-08-06 08:18:00.000000,INT
SÃO JOÃO EVANGELISTA,Técnico Integrado em Nutrição e Dietética,0,59,0,2026-08-06 08:18:00.000000,INT
Todas,Todos,0,2001,0,2026-08-06 08:18:00.000000,INT
BAMBUÍ,Técnico Subsequente em Agropecuária,0,11,0,2026-08-06 08:18:00.000000,SUB
CONGONHAS,Técnico Subsequente em Mecânica,0,3,0,2026-08-06 08:18:00.000000,SUB
CONGONHAS,Técnico Subsequente em Mineração,0,4,0,2026-08-06 08:18:00.000000,SUB
CONSELHEIRO LAFAIETE,Técnico Subsequente em Eletrotécnica,0,18,0,2026-08-06 08:18:00.000000,SUB
CONSELHEIRO LAFAIETE,Técnico Subsequente em Mecânica,0,6,0,2026-08-06 08:18:00.000000,SUB
GOVERNADOR VALADARES,Técnico Subsequente em Segurança do Trabalho,0,11,0,2026-08-06 08:18:00.000000,SUB
IPATINGA,Técnico Subsequente em Eletrotécnica,0,13,0,2026-08-06 08:18:00.000000,SUB
OURO PRETO,Técnico Subsequente em Edificações,0,2,0,2026-08-06 08:18:00.000000,SUB
OURO PRETO,Técnico Subsequente em Joalheria,0,9,0,2026-08-06 08:18:00.000000,SUB
OURO PRETO,Técnico Subsequente em Meio Ambiente,0,6,0,2026-08-06 08:18:00.000000,SUB
OURO PRETO,Técnico Subsequente em Metalurgia,0,2,0,2026-08-06 08:18:00.000000,SUB
OURO PRETO,Técnico Subsequente em Mineração,0,6,0,2026-08-06 08:18:00.000000,SUB
OURO PRETO,Técnico Subsequente em Segurança do Trabalho,0,11,0,2026-08-06 08:18:00.000000,SUB
PIUMHI,Técnico Subsequente em Enfermagem,0,3,0,2026-08-06 08:18:00.000000,SUB
RIBEIRÃO DAS NEVES,Técnico Subsequente em Logística,0,60,0,2026-08-06 08:18:00.000000,SUB
SANTA LUZIA,Técnico Subsequente em Defesa Civil,0,25,0,2026-08-06 08:18:00.000000,SUB
SANTA LUZIA,Técnico Subsequente em Segurança do Trabalho,0,13,0,2026-08-06 08:18:00.000000,SUB
Todas,Todos,0,203,0,2026-08-06 08:18:00.000000,SUB
ARCOS,Direito (Histórico e Redação),0,51,0,2026-08-06 08:18:00.000000,SUP
ARCOS,Engenharia Mecânica (ENEM),0,2,0,2026-08-06 08:18:00.000000,SUP
ARCOS,Engenharia Mecânica (Histórico e Redação),0,13,0,2026-08-06 08:18:00.000000,SUP
BAMBUÍ,Administração (ENEM),0,4,0,2026-08-06 08:18:00.000000,SUP
BAMBUÍ,Agronomia (ENEM),0,10,0,2026-08-06 08:18:00.000000,SUP
BAMBUÍ,Ciências Biológicas (ENEM),0,1,0,2026-08-06 08:18:00.000000,SUP
BAMBUÍ,Ciências Biológicas (Histórico e Redação),0,1,0,2026-08-06 08:18:00.000000,SUP
BAMBUÍ,Educação Física (Histórico e Redação),0,5,0,2026-08-06 08:18:00.000000,SUP
BAMBUÍ,Engenharia de Produção (ENEM),0,1,0,2026-08-06 08:18:00.000000,SUP
BAMBUÍ,Engenharia de Produção (Histórico e Redação),0,2,0,2026-08-06 08:18:00.000000,SUP
BAMBUÍ,Inteligênca Artificial (ENEM),0,4,0,2026-08-06 08:18:00.000000,SUP
BAMBUÍ,Medicina Veterinária (ENEM),0,52,0,2026-08-06 08:18:00.000000,SUP
BAMBUÍ,Zootecnia (ENEM),0,1,0,2026-08-06 08:18:00.000000,SUP
BAMBUÍ,Zootecnia (Histórico e Redação),0,5,0,2026-08-06 08:18:00.000000,SUP
BETIM,Engenharia Mecânica (ENEM),0,30,0,2026-08-06 08:18:00.000000,SUP
BETIM,Engenharia de Controle e Automação (ENEM),0,23,0,2026-08-06 08:18:00.000000,SUP
BETIM,Química (ENEM),0,9,0,2026-08-06 08:18:00.000000,SUP
CONGONHAS,Engenharia de Produção (ENEM),0,16,0,2026-08-06 08:18:00.000000,SUP
CONGONHAS,Letras (Português Inglês) (ENEM),0,1,0,2026-08-06 08:18:00.000000,SUP
CONGONHAS,Letras (Português Inglês) (Histórico e Redação),0,3,0,2026-08-06 08:18:00.000000,SUP
FORMIGA,Administração (ENEM),0,4,0,2026-08-06 08:18:00.000000,SUP
FORMIGA,Administração (Histórico e Redação),0,9,0,2026-08-06 08:18:00.000000,SUP
FORMIGA,Ciência da Computação (ENEM),0,10,0,2026-08-06 08:18:00.000000,SUP
FORMIGA,Ciência da Computação (Histórico e Redação),0,7,0,2026-08-06 08:18:00.000000,SUP
FORMIGA,Engenharia Elétrica (ENEM),0,3,0,2026-08-06 08:18:00.000000,SUP
FORMIGA,Engenharia Elétrica (Histórico e Redação),0,3,0,2026-08-06 08:18:00.000000,SUP
FORMIGA,Matemática (ENEM),0,1,0,2026-08-06 08:18:00.000000,SUP
FORMIGA,Matemática (Histórico e Redação),0,6,0,2026-08-06 08:18:00.000000,SUP
GOVERNADOR VALADARES,Engenharia Ambiental e Sanitária (ENEM),0,2,0,2026-08-06 08:18:00.000000,SUP
GOVERNADOR VALADARES,Engenharia Ambiental e Sanitária (Histórico e Redação),0,7,0,2026-08-06 08:18:00.000000,SUP
GOVERNADOR VALADARES,Engenharia Civil (ENEM),0,13,0,2026-08-06 08:18:00.000000,SUP
GOVERNADOR VALADARES,Engenharia Civil (Histórico e Redação),0,13,0,2026-08-06 08:18:00.000000,SUP
GOVERNADOR VALADARES,Engenharia de Produção (ENEM),0,2,0,2026-08-06 08:18:00.000000,SUP
GOVERNADOR VALADARES,Engenharia de Produção (Histórico e Redação),0,7,0,2026-08-06 08:18:00.000000,SUP
GOVERNADOR VALADARES,Gestão Ambiental (ENEM),0,1,0,2026-08-06 08:18:00.000000,SUP
GOVERNADOR VALADARES,Gestão Ambiental (Histórico e Redação),0,5,0,2026-08-06 08:18:00.000000,SUP
IBIRITÉ,Ciência da Computação (ENEM),0,26,0,2026-08-06 08:18:00.000000,SUP
IBIRITÉ,Engenharia de Controle e Automação (ENEM),0,18,0,2026-08-06 08:18:00.000000,SUP
IPATINGA,Engenharia Elétrica (ENEM),0,11,0,2026-08-06 08:18:00.000000,SUP
IPATINGA,Engenharia Elétrica (Histórico e Redação),0,12,0,2026-08-06 08:18:00.000000,SUP
ITABIRITO,Engenharia Elétrica (ENEM),0,5,0,2026-08-06 08:18:00.000000,SUP
ITABIRITO,Engenharia Elétrica (Histórico e Redação),0,5,0,2026-08-06 08:18:00.000000,SUP
OURO BRANCO,Administração (ENEM),0,13,0,2026-08-06 08:18:00.000000,SUP
OURO BRANCO,Administração (Histórico e Redação),0,15,0,2026-08-06 08:18:00.000000,SUP
OURO BRANCO,Engenharia Metalúrgica (ENEM),0,5,0,2026-08-06 08:18:00.000000,SUP
OURO BRANCO,Engenharia Metalúrgica (Histórico e Redação),0,10,0,2026-08-06 08:18:00.000000,SUP
OURO BRANCO,Pedagogia (ENEM),0,10,0,2026-08-06 08:18:00.000000,SUP
OURO BRANCO,Pedagogia (Histórico e Redação),0,17,0,2026-08-06 08:18:00.000000,SUP
OURO BRANCO,Sistemas de Informação (ENEM),0,6,0,2026-08-06 08:18:00.000000,SUP
OURO BRANCO,Sistemas de Informação (Histórico e Redação),0,8,0,2026-08-06 08:18:00.000000,SUP
OURO PRETO,Análise e Desenvolvimento de Sistemas (ENEM),0,7,0,2026-08-06 08:18:00.000000,SUP
OURO PRETO,Análise e Desenvolvimento de Sistemas (Histórico e Redação),0,6,0,2026-08-06 08:18:00.000000,SUP
OURO PRETO,Física (ENEM),0,1,0,2026-08-06 08:18:00.000000,SUP
OURO PRETO,Geografia (ENEM),0,2,0,2026-08-06 08:18:00.000000,SUP
OURO PRETO,Geografia (Histórico e Redação),0,1,0,2026-08-06 08:18:00.000000,SUP
OURO PRETO,Gestão da Qualidade (ENEM),0,4,0,2026-08-06 08:18:00.000000,SUP
PIUMHI,Engenharia Civil (ENEM),0,3,0,2026-08-06 08:18:00.000000,SUP
PONTE NOVA,Processos Gerenciais (Histórico e Redação),0,4,0,2026-08-06 08:18:00.000000,SUP
RIBEIRÃO DAS NEVES,Administração (ENEM),0,25,0,2026-08-06 08:18:00.000000,SUP
RIBEIRÃO DAS NEVES,Análise e Desenvolvimento de Sistemas (ENEM),0,29,0,2026-08-06 08:18:00.000000,SUP
RIBEIRÃO DAS NEVES,Processos Gerenciais (ENEM),0,8,0,2026-08-06 08:18:00.000000,SUP
SABARÁ,Administração (ENEM),0,6,0,2026-08-06 08:18:00.000000,SUP
SABARÁ,Administração (Histórico e Redação),0,13,0,2026-08-06 08:18:00.000000,SUP
SABARÁ,Engenharia de Controle e Automação (ENEM),0,9,0,2026-08-06 08:18:00.000000,SUP
SABARÁ,Engenharia de Controle e Automação (Histórico e Redação),0,20,0,2026-08-06 08:18:00.000000,SUP
SABARÁ,Logística (Histórico e Redação),0,10,0,2026-08-06 08:18:00.000000,SUP
SABARÁ,Sistemas de Informação (ENEM),0,6,0,2026-08-06 08:18:00.000000,SUP
SABARÁ,Sistemas de Informação (Histórico e Redação),0,14,0,2026-08-06 08:18:00.000000,SUP
SANTA LUZIA,Arquitetura e Urbanismo (ENEM),0,11,0,2026-08-06 08:18:00.000000,SUP
SANTA LUZIA,Arquitetura e Urbanismo (Histórico e Redação),0,11,0,2026-08-06 08:18:00.000000,SUP
SANTA LUZIA,Design de Interiores (ENEM),0,4,0,2026-08-06 08:18:00.000000,SUP
SANTA LUZIA,Design de Interiores (Histórico e Redação),0,4,0,2026-08-06 08:18:00.000000,SUP
SANTA LUZIA,Engenharia Civil (ENEM),0,11,0,2026-08-06 08:18:00.000000,SUP
SANTA LUZIA,Engenharia Civil (Histórico e Redação),0,30,0,2026-08-06 08:18:00.000000,SUP
SÃO JOÃO EVANGELISTA,Administração (ENEM),0,2,0,2026-08-06 08:18:00.000000,SUP
SÃO JOÃO EVANGELISTA,Administração (Histórico e Redação),0,5,0,2026-08-06 08:18:00.000000,SUP
SÃO JOÃO EVANGELISTA,Agronomia (ENEM),0,2,0,2026-08-06 08:18:00.000000,SUP
SÃO JOÃO EVANGELISTA,Agronomia (Histórico e Redação),0,4,0,2026-08-06 08:18:00.000000,SUP
SÃO JOÃO EVANGELISTA,Ciências Biológicas (ENEM),0,1,0,2026-08-06 08:18:00.000000,SUP
SÃO JOÃO EVANGELISTA,Ciências Biológicas (Histórico e Redação),0,1,0,2026-08-06 08:18:00.000000,SUP
SÃO JOÃO EVANGELISTA,Engenharia Florestal (ENEM),0,1,0,2026-08-06 08:18:00.000000,SUP
SÃO JOÃO EVANGELISTA,Engenharia Florestal (Histórico e Redação),0,1,0,2026-08-06 08:18:00.000000,SUP
SÃO JOÃO EVANGELISTA,Matemática (Histórico e Redação),0,3,0,2026-08-06 08:18:00.000000,SUP
SÃO JOÃO EVANGELISTA,Pedagogia (ENEM),0,3,0,2026-08-06 08:18:00.000000,SUP
SÃO JOÃO EVANGELISTA,Pedagogia (Histórico e Redação),0,3,0,2026-08-06 08:18:00.000000,SUP
SÃO JOÃO EVANGELISTA,Sistemas de Informação (ENEM),0,4,0,2026-08-06 08:18:00.000000,SUP
SÃO JOÃO EVANGELISTA,Sistemas de Informação (Histórico e Redação),0,1,0,2026-08-06 08:18:00.000000,SUP
Todas,Todos,0,758,0,2026-08-06 08:18:00.000000,SUP
ARCOS,Técnico Integrado em Administração,0,21,0,2026-08-06 08:30:00.000000,INT
ARCOS,Técnico Integrado em Mecânica,0,8,0,2026-08-06 08:30:00.000000,INT
BAMBUÍ,Técnico Integrado em Administração,0,7,0,2026-08-06 08:30:00.000000,INT
BAMBUÍ,Técnico Integrado em Agroindústria,0,1,0,2026-08-06 08:30:00.000000,INT
BAMBUÍ,Técnico Integrado em Agropecuária,0,21,0,2026-08-06 08:30:00.000000,INT
BAMBUÍ,Técnico Integrado em Biotecnologia,0,11,0,2026-08-06 08:30:00.000000,INT
BAMBUÍ,Técnico Integrado em Eletromecânica,0,3,0,2026-08-06 08:30:00.000000,INT
BAMBUÍ,Técnico Integrado em Informática,0,9,0,2026-08-06 08:30:00.000000,INT
BETIM,Técnico Integrado em Automação Industrial,0,108,0,2026-08-06 08:30:00.000000,INT
BETIM,Técnico Integrado em Mecânica,0,57,0,2026-08-06 08:30:00.000000,INT
BETIM,Técnico Integrado em Química,0,124,0,2026-08-06 08:30:00.000000,INT
CONGONHAS,Técnico Integrado em Edificações,0,33,0,2026-08-06 08:30:00.000000,INT
CONGONHAS,Técnico Integrado em Mecânica,0,15,0,2026-08-06 08:30:00.000000,INT
CONGONHAS,Técnico Integrado em Mineração,0,15,0,2026-08-06 08:30:00.000000,INT
CONSELHEIRO LAFAIETE,Técnico Integrado em Eletrotécnica,0,27,0,2026-08-06 08:30:00.000000,INT
CONSELHEIRO LAFAIETE,Técnico Integrado em Mecânica,0,12,0,2026-08-06 08:30:00.000000,INT
CONSELHEIRO LAFAIETE,Técnico Integrado em Segurança do Trabalho,0,15,0,2026-08-06 08:30:00.000000,INT
FORMIGA,Técnico Integrado em Administração,0,13,0,2026-08-06 08:30:00.000000,INT
FORMIGA,Técnico Integrado em Eletrotécnica,0,7,0,2026-08-06 08:30:00.000000,INT
FORMIGA,Técnico Integrado em Informática,0,10,0,2026-08-06 08:30:00.000000,INT
GOVERNADOR VALADARES,Técnico Integrado em Edificações,0,31,0,2026-08-06 08:30:00.000000,INT
GOVERNADOR VALADARES,Técnico Integrado em Meio Ambiente,0,41,0,2026-08-06 08:30:00.000000,INT
GOVERNADOR VALADARES,Técnico Integrado em Segurança do Trabalho,0,35,0,2026-08-06 08:30:00.000000,INT
IBIRITÉ,Técnico Integrado em Automação Industrial,0,23,0,2026-08-06 08:30:00.000000,INT
IBIRITÉ,Técnico Integrado em Informática,0,61,0,2026-08-06 08:30:00.000000,INT
IBIRITÉ,Técnico Integrado em Mecatrônica,0,37,0,2026-08-06 08:30:00.000000,INT
IBIRITÉ,Técnico Integrado em Sistemas de Energia Renovável,0,24,0,2026-08-06 08:30:00.000000,INT
IPATINGA,Técnico Integrado em Automação Industrial,0,60,0,2026-08-06 08:30:00.000000,INT
IPATINGA,Técnico Integrado em Eletrotécnica,0,31,0,2026-08-06 08:30:00.000000,INT
ITABIRITO,Técnico Integrado em Automação Industrial,0,28,0,2026-08-06 08:30:00.000000,INT
ITABIRITO,Técnico Integrado em Desenvolvimento de Sistemas,0,11,0,2026-08-06 08:30:00.000000,INT
OURO BRANCO,Técnico Integrado em Administração,0,38,0,2026-08-06 08:30:00.000000,INT
OURO BRANCO,Técnico Integrado em Informática,0,42,0,2026-08-06 08:30:00.000000,INT
OURO BRANCO,Técnico Integrado em Metalurgia,0,8,0,2026-08-06 08:30:00.000000,INT
OURO PRETO,Técnico Integrado em Administração,0,48,0,2026-08-06 08:30:00.000000,INT
OURO PRETO,Técnico Integrado em Automação Industrial,0,38,0,2026-08-06 08:30:00.000000,INT
OURO PRETO,Técnico Integrado em Edificações,0,33,0,2026-08-06 08:30:00.000000,INT
OURO PRETO,Técnico Integrado em Metalurgia,0,14,0,2026-08-06 08:30:00.000000,INT
OURO PRETO,Técnico Integrado em Mineração,0,26,0,2026-08-06 08:30:00.000000,INT
PIUMHI,Técnico Integrado em Edificações,0,36,0,2026-08-06 08:30:00.000000,INT
PONTE NOVA,Técnico Integrado em Administração,0,57,0,2026-08-06 08:30:00.000000,INT
PONTE NOVA,Técnico Integrado em Informática,0,32,0,2026-08-06 08:30:00.000000,INT
RIBEIRÃO DAS NEVES,Técnico Integrado em Administração,0,98,0,2026-08-06 08:30:00.000000,INT
RIBEIRÃO DAS NEVES,Técnico Integrado em Eletroeletrônica,0,20,0,2026-08-06 08:30:00.000000,INT
RIBEIRÃO DAS NEVES,Técnico Integrado em Informática,0,95,0,2026-08-06 08:30:00.000000,INT
SABARÁ,Técnico Integrado em Administração,0,66,0,2026-08-06 08:30:00.000000,INT
SABARÁ,Técnico Integrado em Eletrônica,0,46,0,2026-08-06 08:30:00.000000,INT
SABARÁ,Técnico Integrado em Informática,0,65,0,2026-08-06 08:30:00.000000,INT
SANTA LUZIA,Técnico Integrado em Edificações,0,70,0,2026-08-06 08:30:00.000000,INT
SANTA LUZIA,Técnico Integrado em Meio Ambiente,0,49,0,2026-08-06 08:30:00.000000,INT
SANTA LUZIA,Técnico Integrado em Segurança do Trabalho,0,59,0,2026-08-06 08:30:00.000000,INT
SÃO JOÃO EVANGELISTA,Técnico Integrado em Agrimensura,0,7,0,2026-08-06 08:30:00.000000,INT
SÃO JOÃO EVANGELISTA,Técnico Integrado em Agropecuária,0,52,0,2026-08-06 08:30:00.000000,INT
SÃO JOÃO EVANGELISTA,Técnico Integrado em Informática,0,46,0,2026-08-06 08:30:00.000000,INT
SÃO JOÃO EVANGELISTA,Técnico Integrado em Nutrição e Dietética,0,59,0,2026-08-06 08:30:00.000000,INT
Todas,Todos,0,2003,0,2026-08-06 08:30:00.000000,INT
BAMBUÍ,Técnico Subsequente em Agropecuária,0,11,0,2026-08-06 08:30:00.000000,SUB
CONGONHAS,Técnico Subsequente em Mecânica,0,3,0,2026-08-06 08:30:00.000000,SUB
CONGONHAS,Técnico Subsequente em Mineração,0,4,0,2026-08-06 08:30:00.000000,SUB
CONSELHEIRO LAFAIETE,Técnico Subsequente em Eletrotécnica,0,18,0,2026-08-06 08:30:00.000000,SUB
CONSELHEIRO LAFAIETE,Técnico Subsequente em Mecânica,0,6,0,2026-08-06 08:30:00.000000,SUB
GOVERNADOR VALADARES,Técnico Subsequente em Segurança do Trabalho,0,11,0,2026-08-06 08:30:00.000000,SUB
IPATINGA,Técnico Subsequente em Eletrotécnica,0,13,0,2026-08-06 08:30:00.000000,SUB
OURO PRETO,Técnico Subsequente em Edificações,0,2,0,2026-08-06 08:30:00.000000,SUB
OURO PRETO,Técnico Subsequente em Joalheria,0,9,0,2026-08-06 08:30:00.000000,SUB
OURO PRETO,Técnico Subsequente em Meio Ambiente,0,6,0,2026-08-06 08:30:00.000000,SUB
OURO PRETO,Técnico Subsequente em Metalurgia,0,2,0,2026-08-06 08:30:00.000000,SUB
OURO PRETO,Técnico Subsequente em Mineração,0,6,0,2026-08-06 08:30:00.000000,SUB
OURO PRETO,Técnico Subsequente em Segurança do Trabalho,0,11,0,2026-08-06 08:30:00.000000,SUB
PIUMHI,Técnico Subsequente em Enfermagem,0,3,0,2026-08-06 08:30:00.000000,SUB
RIBEIRÃO DAS NEVES,Técnico Subsequente em Logística,0,61,0,2026-08-06 08:30:00.000000,SUB
SANTA LUZIA,Técnico Subsequente em Defesa Civil,0,25,0,2026-08-06 08:30:00.000000,SUB
SANTA LUZIA,Técnico Subsequente em Segurança do Trabalho,0,13,0,2026-08-06 08:30:00.000000,SUB
Todas,Todos,0,204,0,2026-08-06 08:30:00.000000,SUB
ARCOS,Direito (Histórico e Redação),0,52,0,2026-08-06 08:30:00.000000,SUP
ARCOS,Engenharia Mecânica (ENEM),0,2,0,2026-08-06 08:30:00.000000,SUP
ARCOS,Engenharia Mecânica (Histórico e Redação),0,13,0,2026-08-06 08:30:00.000000,SUP
BAMBUÍ,Administração (ENEM),0,4,0,2026-08-06 08:30:00.000000,SUP
BAMBUÍ,Agronomia (ENEM),0,10,0,2026-08-06 08:30:00.000000,SUP
BAMBUÍ,Ciências Biológicas (ENEM),0,1,0,2026-08-06 08:30:00.000000,SUP
BAMBUÍ,Ciências Biológicas (Histórico e Redação),0,1,0,2026-08-06 08:30:00.000000,SUP
BAMBUÍ,Educação Física (Histórico e Redação),0,5,0,2026-08-06 08:30:00.000000,SUP
BAMBUÍ,Engenharia de Produção (ENEM),0,1,0,2026-08-06 08:30:00.000000,SUP
BAMBUÍ,Engenharia de Produção (Histórico e Redação),0,2,0,2026-08-06 08:30:00.000000,SUP
BAMBUÍ,Inteligênca Artificial (ENEM),0,4,0,2026-08-06 08:30:00.000000,SUP
BAMBUÍ,Medicina Veterinária (ENEM),0,52,0,2026-08-06 08:30:00.000000,SUP
BAMBUÍ,Zootecnia (ENEM),0,1,0,2026-08-06 08:30:00.000000,SUP
BAMBUÍ,Zootecnia (Histórico e Redação),0,5,0,2026-08-06 08:30:00.000000,SUP
BETIM,Engenharia Mecânica (ENEM),0,30,0,2026-08-06 08:30:00.000000,SUP
BETIM,Engenharia de Controle e Automação (ENEM),0,23,0,2026-08-06 08:30:00.000000,SUP
BETIM,Química (ENEM),0,9,0,2026-08-06 08:30:00.000000,SUP
CONGONHAS,Engenharia de Produção (ENEM),0,16,0,2026-08-06 08:30:00.000000,SUP
CONGONHAS,Letras (Português Inglês) (ENEM),0,1,0,2026-08-06 08:30:00.000000,SUP
CONGONHAS,Letras (Português Inglês) (Histórico e Redação),0,3,0,2026-08-06 08:30:00.000000,SUP
FORMIGA,Administração (ENEM),0,4,0,2026-08-06 08:30:00.000000,SUP
FORMIGA,Administração (Histórico e Redação),0,9,0,2026-08-06 08:30:00.000000,SUP
FORMIGA,Ciência da Computação (ENEM),0,10,0,2026-08-06 08:30:00.000000,SUP
FORMIGA,Ciência da Computação (Histórico e Redação),0,7,0,2026-08-06 08:30:00.000000,SUP
FORMIGA,Engenharia Elétrica (ENEM),0,3,0,2026-08-06 08:30:00.000000,SUP
FORMIGA,Engenharia Elétrica (Histórico e Redação),0,3,0,2026-08-06 08:30:00.000000,SUP
