Rank,Campus,Escola,Cidade,Tipo,Area,Inscritos,Timestamp,Modalidade
1,Todas as unidades,OUTROS (ESCOLA NÃO LOCALIZADA/OUTROS PAÍSES),Outra - OU,Privada,Urbana,106,2026-08-18 17:45:00.000000,INT
2,Todas as unidades,ESCOLA MUNICIPAL JOSE MARIA DA FONSECA,Ponte Nova - MG,Pública Municipal,Urbana,79,2026-08-18 17:45:00.000000,INT
3,Todas as unidades,ESCOLA MUNICIPAL MANOEL SALVADOR DE OLIVEIRA,Itabirito - MG,Pública Municipal,Urbana,59,2026-08-18 17:45:00.000000,INT
4,Todas as unidades,EE JOAO CORREA ARMOND,Ribeirão das Neves - MG,Pública Estadual,Urbana,57,2026-08-18 17:45:00.000000,INT
5,Todas as unidades,EE MONSENHOR PINHEIRO,São João Evangelista - MG,Pública Estadual,Urbana,52,2026-08-18 17:45:00.000000,INT
6,Todas as unidades,ESCOLA MUNICIPAL PROFESSOR DORIOL BEATO,Conselheiro Lafaiete - MG,Pública Municipal,Urbana,51,2026-08-18 17:45:00.000000,INT
7,Todas as unidades,EE PAULA ROCHA,Sabará - MG,Pública Estadual,Urbana,50,2026-08-18 17:45:00.000000,INT
8,Todas as unidades,ESCOLA MUNICIPAL JOSE FERREIRA BASTOS,Itabirito - MG,Pública Municipal,Urbana,46,2026-08-18 17:45:00.000000,INT
9,Todas as unidades,EM FORTUNATA DE FREITAS JUNQUEIRA,Congonhas - MG,Pública Municipal,Urbana,34,2026-08-18 17:45:00.000000,INT
10,Todas as unidades,EM ISABEL NASCIMENTO DE MATTOS,Contagem - MG,Pública Municipal,Urbana,34,2026-08-18 17:45:00.000000,INT
11,Todas as unidades,EE PROFESSOR SOARES FERREIRA,Mariana - MG,Pública Estadual,Urbana,34,2026-08-18 17:45:00.000000,INT
12,Todas as unidades,EM TOMAS ANTONIO GONZAGA,Ouro Preto - MG,Pública Municipal,Urbana,34,2026-08-18 17:45:00.000000,INT
13,Todas as unidades,INSTITUTO MONTESSORI,Ponte Nova - MG,Privada,Urbana,33,2026-08-18 17:45:00.000000,INT
14,Todas as unidades,EE JOAO BATISTA DE CARVALHO,Bambuí - MG,Pública Estadual,Urbana,31,2026-08-18 17:45:00.000000,INT
15,Todas as unidades,EE FAZENDA SAO SEBASTIAO,Guanhães - MG,Pública Estadual,Urbana,31,2026-08-18 17:45:00.000000,INT
16,Todas as unidades,EM ZULEIKA HALFELD DE ALBUQUERQUE,Jeceaba - MG,Pública Municipal,Urbana,30,2026-08-18 17:45:00.000000,INT
17,Todas as unidades,EE HENRIQUE SAPORI,Ribeirão das Neves - MG,Pública Estadual,Urbana,29,2026-08-18 17:45:00.000000,INT
18,Todas as unidades,ESCOLA MUNICIPAL DONA QUITA,Santa Luzia - MG,Pública Municipal,Urbana,28,2026-08-18 17:45:00.000000,INT
19,Todas as unidades,EM MARIA VIEIRA BARBOSA,Ribeirão das Neves - MG,Pública Municipal,Urbana,28,2026-08-18 17:45:00.000000,INT
20,Todas as unidades,ESCOLA MUNICIPAL LIVRE MENTE,Ouro Branco - MG,Pública Municipal,Urbana,27,2026-08-18 17:45:00.000000,INT
21,Todas as unidades,EE ALTIVO COELHO,Guanhães - MG,Pública Estadual,Urbana,27,2026-08-18 17:45:00.000000,INT
22,Todas as unidades,COLEGIO MUNICIPAL JOAO XXIII,Ouro Branco - MG,Pública Municipal,Urbana,27,2026-08-18 17:45:00.000000,INT
23,Todas as unidades,ESCOLA MUNICIPAL NAPOLEAO REIS,Conselheiro Lafaiete - MG,Pública Municipal,Urbana,26,2026-08-18 17:45:00.000000,INT
